Name;Hours without subtasks;Hours with subtasks
     Lynda.com - Advanced Microsoft Project;4h 52m;4h 52m
     Webinar;-;2h 30m
          LFW AFL distributed sensing;1h 30m;1h 30m
          Smartec - 20 years of SHM;41m 33s;41m 33s
          Smartec - SOFO Lite;19m 7s;19m 7s
     Lynda.com - JIRA;1h 33m;1h 33m
     Sensuron - Strain measurement;1h 5m;1h 5m
     Synaptec clanok;57m 56s;57m 56s
     Technica SA clanok;39m 45s;39m 45s
     ISHMII Journal;28m 48s;28m 48s
     Noria - LFW clanok;23m 55s;23m 55s
     ICE manual of Geotechnical engineering;21m;21m
     Lynda.com - Agile Project Management;18m 52s;18m 52s
     EDN Eurpoe;5m 46s;5m 46s
Organizacia mailov;17h 3m;81h 58m
     Citanie mailov;64h 54m;64h 54m
Osterbaai;-;69h 11m
     Projects;-;63h 46m
          1667 - Den Helder;3h 22m;60h 33m
               Maintenance;-;55h 39m
                    Network repair;24h 35m;30h 59m
                         rekonfiguracia s-line scan;1h 55m;1h 55m
                         Kontrola def suboru;1h 35m;1h 35m
                         Update def suboru;1h 21m;1h 21m
                         Konfiguracia noveho ITR;55m;55m
                         Check intenzit WL;36m 40s;36m 40s
                    Konfiguracia Sentinel - vymazanie probl. peakov;3h 48m;7h 24m
                         Check nastaveni;3h 5m;3h 5m
                         Mail Hilkovi;30m;30m
                    Kontrola nastavenia snimacov;6h 36m;7h 19m
                         Vymazanie chybnych snimacov;24m 56s;24m 56s
                         Stav snimacov - Tomas;17m 57s;17m 57s
                    Mail - Hilko - nastavenie snimacov;3h 16m;3h 16m
                    Mail - Hilko - kontrola snimacov;58m 15s;58m 15s
                    Mail - Stav snimacov - Hilko;50m;50m
                    Phone call - Hilko / Tomas;42m 50s;42m 50s
                    Nastavenie mailov - Hilko;40m 29s;40m 29s
                    Meeting - oprava interogatora;40m;40m
                    Diskusia - Tomas;39m 49s;39m 49s
                    Konfiguracia noveho interogatora;28m 22s;28m 22s
                    Topologia - Tomas;27m 9s;27m 9s
                    Testovanie interogatora;20m 44s;20m 44s
                    Diskusia problemy - Peto;18m 24s;18m 24s
                    Diskusia - interrogator fail - Peto / Tomas / Ado;18m;18m
                    Diskusia - termin instalacie;15m 42s;15m 42s
               General;-;1h 32m
                    Mail - Hilko - microstrain problem;51m 32s;51m 32s
                    Mail - Hilko - Maintenance casy;28m 31s;28m 31s
                    Mail - Peto, Tomas;12m 13s;12m 13s
          Vibration testing;38s;3h 12m
               Analyza udajov;1h 11m;2h 50m
                    Kodenie makra;1h 25m;1h 25m
                    Analyza udajov pomocou makra;12m 33s;12m 33s
               Vibration sensors;21m 52s;21m 52s
     Maintenance;-;4h 26m
          Sentinel manual - Hilko;3h 16m;3h 16m
          SW otazky od Hilka - Tomas;35m 31s;35m 31s
          Konfguracia Sentinel;30m;33m 55s
               Problem so sietou - Marek;3m 55s;3m 55s
     Misc;-;58m 53s
          campbell scientific riesenie;58m 53s;58m 53s
FOI;-;56h 46m
     Vypomoc vo vyrobe - FOI;45h 43m;45h 43m
     Barcode;-;6h 50m
          Zistovanie problemu;3m 20s;5h 18m
